"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Zabbix\TriggerService.php","namespace SOLPI\Integrations\Zabbix;","final class TriggerService",,,,"29","0,46"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Zabbix\ZabbixClient.php","namespace SOLPI\Integrations\Zabbix;","final class ZabbixClient",,,,"41","0,79"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Zabbix\ZabbixModel.php","namespace SOLPI\Integrations\Zabbix;","final class ZabbixModel",,,,"14","0,22"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\CsvImporter.php","namespace SOLPI\Knowledge;","final class CsvImporter",,,,"32","0,49"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\EntityExtractor.php","namespace SOLPI\Knowledge;","final class EntityExtractor",,,,"157","2,85"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\HtmlImporter.php","namespace SOLPI\Knowledge;","final class HtmlImporter",,,,"46","0,7"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ImportEngine.php","namespace SOLPI\Knowledge;","final class ImportEngine",,,,"51","0,84"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ImporterInterface.php","namespace SOLPI\Knowledge;",,"interface ImporterInterface",,,"10","0,15"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ImportFactory.php","namespace SOLPI\Knowledge;","final class ImportFactory",,,,"33","0,6"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\JsonImporter.php","namespace SOLPI\Knowledge;","final class JsonImporter implements ImporterInterface",,,,"30","0,47"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeEngine.php","namespace SOLPI\Knowledge;","final class KnowledgeEngine",,,,"82","1,51"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeEntity.php","namespace SOLPI\Knowledge;","final class KnowledgeEntity",,,,"83","1,35"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeGraph.php","namespace SOLPI\Knowledge;","final class KnowledgeGraph",,,,"70","1,25"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeGraphEngine.php","namespace SOLPI\Knowledge;","final class KnowledgeGraphEngine",,,,"66","1,02"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeMemory.php","namespace SOLPI\Knowledge;","final class KnowledgeMemory",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeRelationship.php","namespace SOLPI\Knowledge;","final class KnowledgeRelationship",,,,"51","0,86"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ManufacturerExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class ManufacturerExtractor",,,,"65","0,81"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\MemoryEngine.php","namespace SOLPI\Knowledge;","final class MemoryEngine",,,,"54","0,85"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\RelationshipBuilder.php","namespace SOLPI\Knowledge;","final class RelationshipBuilder",,,,"40","0,68"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\SyncEngine.php","namespace SOLPI\Knowledge;","final class SyncEngine",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\TxtImporter.php","namespace SOLPI\Knowledge;","final class TxtImporter implements ImporterInterface",,,,"16","0,23"
